F5_6,F5_107,F5_54,F5_36,F5_37,F5_39,F5_55,ARPT_NAME,CITY,ST_PR,J5_3,J5_5,J5_6,J5_7,J5_8,J5_10,PRECISION,J5_12,J5_39,J5_14,J5_15,F5_14,F5_179,F5_197,CHRT_IDX,CLNK_IDX
KBGD,BGD,6200,N35420320,W101233720,E007.0,3055,HUTCHINSON CO,BORGER,TX,USA,NNNYNNNNYNYNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,18354,19589
KBGE,BGE,5500,N30581775,W084381294,W004.0,141,DECATUR CO INDUSTRIAL,BAINBRIDGE,GA,USA,NNNYNNNNNNYNNN,NNNNN,YYNN,N,N,Y,Y,N,Y,+5:00=UTC,K7,Y,NAW,18358,19591
KBGF,,5000,N35103912,W086035820,W003.0,979,WINCHESTER MUN,WINCHESTER,TN,USA,NNNYNNNNYNYNNN,NNNNN,NNYY,N,N,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,18363,19595
KBGM,BGM,7300,N42123040,W075584660,W012.0,1636,GREATER BINGHAMTON REGL/LINK,BINGHAMTON,NY,USA,NNNYNNNNYNNNNN,NNNYY,YYNN,Y,Y,Y,Y,Y,Y,+5:00=UTC,K6,Y,NAW,18367,19599
KBGR,BGR,11400,N44482680,W068494130,W016.0,192,BANGOR INTL,BANGOR,ME,USA,NNNYNNNNYNNNNN,NNYNY,NNYY,Y,Y,Y,Y,P,Y,+5:00=UTC,K6,Y,NAW,18374,19605
KBHB,BHB,5200,N44265894,W068214136,W019.0,83,HANCOCK CO/BAR HARBOR,BAR HARBOR,ME,USA,NNNYNNNNYNNNNN,NNNNY,YYNN,N,N,Y,Y,N,Y,+5:00=UTC,K6,Y,NAW,18387,19614
KBHC,,5000,N31424980,W082233760,W006.0,201,BAXLEY MUN,BAXLEY,GA,USA,NNNYNNNNNNYNNN,NNNNN,NNNN,N,N,N,Y,N,Y,+5:00=UTC,K7,Y,NAW,18391,19617
KBHK,,5900,N46204780,W104152920,E009.0,2981,BAKER MUN,BAKER,MT,USA,NNNYNNNNNNYNNN,NNNNN,NNYY,,Y,N,Y,U,Y,+7:00=UTC,K1,Y,NAW,18395,19620
KBHM,BHM,12000,N33335000,W086450830,W003.0,650,BIRMINGHAM-SHUTTLESWORTH INTL,BIRMINGHAM,AL,USA,NNNYNNNYYNNNNN,NYYNN,NNYY,,N,Y,Y,P,Y,+6:00=UTC,K7,Y,NAW,18398,19622
KBID,BID,2500,N41100520,W071344020,W015.0,108,BLOCK ISLAND STATE,BLOCK ISLAND,RI,USA,NNNNNNNNNNNNNN,NNNNN,NNNN,Y,N,N,Y,U,Y,+5:00=UTC,K6,Y,NAW,18418,19635
KBIE,BIE,5600,N40180460,W096451480,E004.0,1324,BEATRICE MUN,BEATRICE,NE,USA,NNNYNNNNYNNNNN,NNNNN,YYNN,N,Y,N,Y,N,Y,+6:00=UTC,K3,Y,NAW,18423,19639
KBIF,BIF,13500,N31505830,W106224810,E008.0,3947,BIGGS AAF,FT BLISS,TX,USA,NNNNNNNYNNYNNN,YNNNN,NNYY,N,Y,N,Y,P,M,+7:00=UTC,K4,Y,WGE,18430,19645
KBIH,BIH,7400,N37222320,W118214900,E015.0,4124,BISHOP,BISHOP,CA,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,,N,N,Y,N,Y,+8:00=UTC,K2,Y,NAW,18434,19648
KBIJ,,5400,N31235103,W084534127,W003.0,215,EARLY CO,BLAKELY,GA,USA,NNNYNNNNYNNNNN,NNNNN,NNNN,N,N,N,Y,U,Y,+5:00=UTC,K7,Y,NAW,18440,19653
KBIL,BIL,10500,N45482826,W108323676,E010.0,3662,BILLINGS LOGAN INTL,BILLINGS,MT,USA,NNNYNNNNYNNNNN,NYYYY,NNYY,N,Y,Y,Y,U,Y,+7:00=UTC,K1,Y,NAW,18443,19655
KBIS,BIS,8700,N46462184,W100444466,E007.0,1661,BISMARCK MUN,BISMARCK,ND,USA,NNNYNNNNYNNNNN,NYYNN,NNYY,,Y,Y,Y,N,Y,+6:00=UTC,K3,Y,NAW,18460,19672
KBIV,,6000,N42443400,W086062820,W004.0,698,WEST MICHIGAN REGL,HOLLAND,MI,USA,NNNYNNNNNNYNNN,NYYNN,NNYY,Y,Y,Y,Y,U,Y,+5:00=UTC,K5,Y,NAW,18469,19679
KBIX,BIX,7600,N30243753,W088552796,W002.0,33,KEESLER AFB,BILOXI,MS,USA,NNNNNNNYNNNNNN,NNYNN,NNYY,,Y,Y,Y,U,M,+6:00=UTC,K7,Y,WGE,18473,19682
KBJC,BJC,9000,N39543170,W105070190,E009.0,5673,ROCKY MOUNTAIN METRO,DENVER,CO,USA,NNNYNNNNYNNNNN,NYYYY,NNYY,N,Y,Y,Y,Y,Y,+7:00=UTC,K2,Y,NAW,18481,19687
KBJI,BJI,7000,N47303860,W094560500,E001.0,1391,BEMIDJI REGL,BEMIDJI,MN,USA,NNNYNNNNYNNNNN,NNNYY,NNYY,,Y,Y,Y,N,Y,+6:00=UTC,K3,Y,NAW,18512,19711
KBJJ,BJJ,5100,N40522940,W081531770,W007.0,1136,WAYNE CO,WOOSTER,OH,USA,NNNYNNNNYNNNNN,NNNNN,NNNN,Y,N,N,Y,N,Y,+5:00=UTC,K5,Y,NAW,18519,19717
KBKD,BKD,5000,N32430752,W098532975,E007.0,1284,STEPHENS CO,BRECKENRIDGE,TX,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,,N,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,18524,19723
KBKE,BKE,5000,N44501440,W117483290,E016.0,3373,BAKER CITY MUN,BAKER CITY,OR,USA,NNNYNNNNYNNNNN,NNNYY,YNNY,,Y,N,Y,U,Y,+8:00=UTC,K1,Y,NAW,18527,19725
KBKF,BFK,11000,N39420634,W104450706,E008.0,5663,BUCKLEY SFB,AURORA,CO,USA,NNNNNNNYNNNNYN,NYYYY,YNNY,,Y,Y,Y,U,M,+7:00=UTC,K2,Y,WGE,18533,19728
KBKL,BKL,6600,N41310430,W081405750,W007.0,584,BURKE LAKEFRONT,CLEVELAND,OH,USA,NNNYNNNNYNNNNN,NYYNN,NNYY,Y,Y,Y,Y,A,Y,+5:00=UTC,K5,Y,NAW,18557,19744
KBKN,BWL,3500,N36444240,W097205850,E006.0,1030,BLACKWELL-TONKAWA MUN,BLACKWELL,OK,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,18573,19755
KBKS,,6000,N27122180,W098071570,E006.0,112,BROOKS CO,FALFURRIAS,TX,USA,NNNYNNNNYNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,18577,19758
KBKT,BKT,5300,N37042916,W077572375,W009.0,437,ALLEN C PERKINSON BLACKSTONE A,BLACKSTONE,VA,USA,NNNYNNNNYNNNNN,NNNNN,NNNN,,N,N,Y,U,J,+5:00=UTC,K6,Y,NAW,18580,19760
KBKV,,7000,N28282500,W082271950,W004.0,76,BROOKSVILLE-TAMPA BAY REGL,BROOKSVILLE,FL,USA,NNNYNNNNYNNNNN,NNNNY,NNYY,,Y,Y,Y,U,Y,+5:00=UTC,K7,Y,NAW,18585,19764
KBKW,BKW,6700,N37471440,W081072700,W006.0,2504,RALEIGH CO MEML,BECKLEY,WV,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,N,Y,Y,Y,U,Y,+5:00=UTC,K6,Y,NAW,18592,19769
KBKX,BKX,6000,N44181630,W096490810,E003.0,1648,BROOKINGS REGL,BROOKINGS,SD,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,,Y,Y,Y,N,Y,+6:00=UTC,K3,Y,NAW,18600,19775
KBLF,BLF,4700,N37174541,W081122707,W007.0,2857,MERCER CO,BLUEFIELD,WV,USA,NNNYNNNNYNYNNN,NNNNN,NNYY,N,N,Y,Y,U,Y,+5:00=UTC,K6,Y,NAW,18604,19778
KBLH,BLH,6500,N33370900,W114430080,E013.1,400,BLYTHE,BLYTHE,CA,USA,NNNYNNNNYYNNNN,NNNNN,NNNN,N,N,N,Y,U,Y,+8:00=UTC,K2,Y,NAW,18610,19784
KBLI,BLI,6700,N48473370,W122321510,E016.0,171,BELLINGHAM INTL,BELLINGHAM,WA,USA,NNNYNNNNYNNNNN,NYNNN,NNNY,Y,N,Y,Y,Y,Y,+8:00=UTC,K1,Y,NAW,18614,19787
KBLM,BLM,7300,N40111240,W074072840,W012.0,153,MONMOUTH EXECUTIVE,BELMAR-FARMINGDALE,NJ,USA,NNNYNNNNYNNNNN,NNNNN,YYNN,Y,N,N,Y,U,Y,+5:00=UTC,K6,Y,NAW,18625,19798
KBLV,BLV,10000,N38324262,W089500667,W002.0,459,SCOTT AFB/MIDAMERICA ST LOUIS,BELLEVILLE,IL,USA,NNNYNNNNYNYNNN,NYNNY,NNNY,Y,Y,Y,Y,Y,J,+6:00=UTC,K5,Y,NAW,18631,19802
KBMC,BMC,8900,N41331550,W112034410,E013.0,4230,BRIGHAM CITY REGL,BRIGHAM CITY,UT,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,,N,N,Y,U,Y,+7:00=UTC,K2,Y,NAW,18655,19821
KBMG,BMG,6500,N39084568,W086370005,W002.0,846,MONROE CO,BLOOMINGTON,IN,USA,NNNYNNNNYNNNNN,NNNYY,NNYY,,Y,Y,Y,N,Y,+5:00=UTC,K5,Y,NAW,18658,19822
KBMI,BMI,8000,N40283760,W088545730,W003.0,871,CENTRAL ILL REGL AT BLOOMINGTO,BLOOMINGTON,IL,USA,NNNYNNNNYNNNNN,NNNNY,NNYY,,Y,Y,Y,U,Y,+6:00=UTC,K5,Y,NAW,18666,19829
KBML,BML,5200,N44343130,W071103330,W016.0,1161,BERLIN REGL,BERLIN,NH,USA,NNNYNNNNYNNNNN,NNNNN,YYNN,Y,N,N,Y,N,Y,+5:00=UTC,K6,Y,NAW,18677,19838
KBMQ,,5000,N30442014,W098141900,E003.0,1283,BURNET MUN/KATE CRADDOCK,BURNET,TX,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,N,N,N,Y,N,Y,+6:00=UTC,K4,Y,NAW,18681,19839
KBMT,BMT,4000,N30041274,W094125435,E004.0,32,BEAUMONT MUN,BEAUMONT,TX,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,N,N,N,Y,N,Y,+6:00=UTC,K4,Y,NAW,18684,19841
KBNA,BNA,11000,N36072811,W086404145,W003.0,599,NASHVILLE INTL,NASHVILLE,TN,USA,NNNYNNNNYNNNNN,NNYNY,NNYY,N,Y,Y,Y,P,Y,+6:00=UTC,K7,Y,NAW,18687,19843
KBNL,BNL,5100,N33152760,W081231759,W005.0,246,BARNWELL RGNL,BARNWELL,SC,USA,NNNYNNYNYNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+5:00=UTC,K7,Y,NAW,18734,19887
KBNO,BNO,5100,N43353086,W118571957,E018.0,4148,BURNS MUN,BURNS,OR,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,,N,N,Y,U,Y,+8:00=UTC,K1,Y,NAW,18737,19889
KBNW,BNW,4800,N42025840,W093505140,E003.0,1160,BOONE MUN,BOONE,IA,USA,NNNYNNYNYNNNNN,NNNNN,YYNN,N,N,N,Y,N,Y,+6:00=UTC,K3,Y,NAW,18740,19891
KBOI,BOI,10000,N43335170,W116132230,E013.0,2872,BOISE AIR TERMINAL/GOWEN,BOISE,ID,USA,NNNYNNNNYYYNNN,NYNYN,NNYY,N,Y,Y,Y,P,Y,+7:00=UTC,K1,Y,NAW,18743,19893
KBOK,BOK,2900,N42042620,W124172320,E014.0,462,BROOKINGS,BROOKINGS,OR,USA,NNNYNNNNYNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+8:00=UTC,K1,Y,NAW,18776,19936
KBOS,BOS,10000,N42214660,W071002300,W015.0,19,LOGAN INTL,BOSTON,MA,USA,NNNYNNNNYNNNNN,NYYYY,NNYY,Y,Y,Y,Y,P,Y,+5:00=UTC,K6,Y,NAW,18779,19937
KBOW,BOW,5000,N27563609,W081470037,W004.0,125,BARTOW EXECUTIVE,BARTOW,FL,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,N,N,N,Y,N,Y,+5:00=UTC,K7,Y,NAW,18830,19974
KBPG,HCA,8800,N32124540,W101311790,E007.0,2573,BIG SPRING MC MAHON-WRINKLE,BIG SPRING,TX,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,N,N,N,Y,N,Y,+6:00=UTC,K4,Y,NAW,18837,19980
KBPI,BPI,6800,N42345600,W110063190,E010.0,6994,MILEY MEML,BIG PINEY,WY,USA,NNNYNNNNYNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+7:00=UTC,K1,Y,NAW,18844,19986
KBPK,,5000,N36220819,W092281387,E003.0,928,BAXTER COUNTY,MOUNTAIN HOME,AR,USA,NNNYNNNNYNNNNN,NNNYN,NNYY,N,N,Y,Y,N,Y,+6:00=UTC,K4,Y,NAW,18848,19988
KBPT,BPT,6700,N29570299,W094011452,E001.0,15,JACK BROOKS REGL,BEAUMONT/PORT ARTHUR,TX,USA,NNNYNNNNYNNNNN,NNYNN,YYNN,N,Y,Y,Y,P,Y,+6:00=UTC,K4,Y,NAW,18852,19991
KBQK,BQK,8000,N31153253,W081275874,W004.0,26,BRUNSWICK GOLDEN ISLES,BRUNSWICK,GA,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,N,N,Y,Y,P,Y,+5:00=UTC,K7,Y,NAW,18858,19996
KBQP,,4000,N32452190,W091525010,E003.0,168,MOREHOUSE MEML,BASTROP,LA,USA,NNNYNNNNNNNNNN,NNNNN,YYNN,N,N,N,Y,N,Y,+6:00=UTC,K4,Y,NAW,18863,20000
KBQR,,3100,N42551940,W078364310,W010.0,752,BUFFALO-LANCASTER REGL,LANCASTER,NY,USA,NNNYNNNNNNNNNN,NNNNN,YNNY,,N,N,Y,U,Y,+5:00=UTC,K6,Y,NAW,18868,20004
KBRD,BRD,7100,N46241520,W094080170,E003.0,1232,BRAINERD LAKES REGL,BRAINERD,MN,USA,NNNYNNNNYNNNNN,NYNYN,NNYY,,Y,Y,Y,N,Y,+6:00=UTC,K3,Y,NAW,18872,20006
KBRG,,6600,N34384510,W106501082,E011.0,5200,BELEN REGL,BELEN,NM,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,N,N,N,Y,N,Y,+7:00=UTC,K2,Y,NAW,18878,20011
KBRL,BRL,6100,N40465870,W091073210,E001.0,699,SOUTHEAST IOWA REGL,BURLINGTON,IA,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,N,Y,Y,Y,N,Y,+6:00=UTC,K3,Y,NAW,18881,20014
KBRO,BRO,7300,N25542210,W097253360,E003.0,22,BROWNSVILLE/SOUTH PADRE I INTL,BROWNSVILLE,TX,USA,NNNYNNNNYNNNNN,NYNYN,NNYY,Y,Y,Y,Y,Y,Y,+6:00=UTC,K4,Y,NAW,18888,20021
KBRY,BRY,5000,N37485160,W085295870,W005.0,669,SAMUELS,BARDSTOWN,KY,USA,NNNYNNNNNNYNNN,NYYNN,YYNN,Y,N,N,Y,U,Y,+5:00=UTC,K5,Y,NAW,18895,20027
KBST,,4000,N44243380,W069004260,W018.0,198,BELFAST MUN,BELFAST,ME,USA,NNNYNNNNNNYNNN,NNNNN,NNNN,N,N,N,Y,N,Y,+5:00=UTC,K6,Y,NAW,18900,20031
KBTA,,4200,N41245330,W096063230,E003.0,1318,BLAIR EXEC,BLAIR,NE,USA,NNNYNNNNYNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,18903,20033
KBTL,BTL,10000,N42182330,W085150032,W004.0,952,BATTLE CREEK EXEC AT KELLOGG,BATTLE CREEK,MI,USA,NNNYNNNNNNYNNN,NNNYN,NNYY,Y,N,Y,Y,P,Y,+5:00=UTC,K5,Y,NAW,18906,20035
KBTM,BTM,9000,N45571730,W112295090,E012.0,5551,MOONEY,BUTTE,MT,USA,NNNYNNNNYNNNNN,NYYYY,NNYY,Y,N,Y,Y,P,Y,+7:00=UTC,K1,Y,NAW,18912,20039
KBTN,TTO,4200,N45485410,W097443410,E004.0,1318,BRITTON MUN,BRITTON,SD,USA,NNNNNNNNNNNNNN,NNNNN,YYNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,18918,20043
KBTP,BTP,4800,N40463570,W079570390,W008.0,1248,PITTSBURGH/BUTLER REGL,BUTLER,PA,USA,NNNYNNNNYNYNNN,NYYNN,NNYY,N,N,Y,Y,U,Y,+5:00=UTC,K6,Y,NAW,18921,20045
KBTR,BTR,7500,N30315850,W091085960,E000.0,70,BATON ROUGE METRO-RYAN,BATON ROUGE,LA,USA,NNNYNNNNYNYNNN,NYNYN,NNYY,N,N,Y,Y,P,Y,+6:00=UTC,K4,Y,NAW,18926,20048
KBTV,BTV,8300,N44281904,W073091179,W015.0,335,PATRICK LEAHY BURLINGTON INTL,BURLINGTON,VT,USA,NNNYNNNNYNNNNN,NYNYN,NNYY,Y,N,Y,Y,Y,Y,+5:00=UTC,K6,Y,NAW,18938,20057
KBUB,BUB,3900,N41463928,W099090076,E007.0,2183,CRAM,BURWELL,NE,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,18953,20069
KBUF,BUF,8800,N42562554,W078435005,W011.0,727,BUFFALO NIAGARA INTL,BUFFALO,NY,USA,NNNYNNNNYNNNNN,NYYYY,NNYY,Y,Y,Y,Y,P,Y,+5:00=UTC,K6,Y,NAW,18956,20071
KBUM,BUM,3900,N38172316,W094202446,E004.0,894,BUTLER MEML,BUTLER,MO,USA,NNNYNNNNNNNNNN,NNNNN,YYNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,18969,20083
KBUR,BUR,6800,N34120250,W118213120,E012.0,778,BOB HOPE,BURBANK,CA,USA,NNNYNNNNYNYNNN,NYNYN,NNYY,N,N,Y,Y,N,Y,+8:00=UTC,K2,Y,NAW,18973,20086
KBUU,,4300,N42412658,W088181686,W003.0,780,BURLINGTON MUN,BURLINGTON,WI,USA,NNNYNNNNYNNNNN,NNNNY,NNYY,,N,N,Y,U,Y,+6:00=UTC,K5,Y,NAW,18995,20105
KBUY,,6400,N36025902,W079282283,W008.0,616,BURLINGTON/ALAMANCE REGL,BURLINGTON,NC,USA,NNNYNNNNNNNNNN,NNNYN,NNYY,N,Y,Y,Y,N,Y,+5:00=UTC,K7,Y,NAW,19009,20111
KBVI,BFP,4500,N40462090,W080232920,W007.0,1253,BEAVER CO,BEAVER FALLS,PA,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,N,N,N,Y,U,Y,+5:00=UTC,K6,Y,NAW,19015,20117
KBVN,,3700,N41434288,W098032074,E006.0,1806,ALBION MUN,ALBION,NE,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,19021,20121
KBVO,BVO,6800,N36454810,W096004030,E003.0,717,BARTLESVILLE MUN,BARTLESVILLE,OK,USA,NNNYNNNNNNYNNN,NNNNY,NNYY,,Y,N,Y,N,Y,+6:00=UTC,K4,Y,NAW,19024,20123
KBVS,MVW,5400,N48281389,W122251808,E016.0,145,SKAGIT REGL,BURLINGTON/MT VERNON,WA,USA,NNNYNNNNYNNNNN,NNNYY,NNYY,N,Y,N,Y,P,Y,+8:00=UTC,K1,Y,NAW,19030,20127
KBVU,BLD,5100,N35565031,W114513990,E011.0,2203,BOULDER CITY MUN,BOULDER CITY,NV,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,N,N,N,Y,N,Y,+8:00=UTC,K2,Y,NAW,19034,20129
KBVX,BVX,6000,N35433440,W091385080,E001.0,465,BATESVILLE REGL,BATESVILLE,AR,USA,NNNYNNNNNNYNNN,NNNNN,NNYY,,N,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,19039,20130
KBVY,BVY,5000,N42350290,W070545810,W016.0,107,BEVERLY REGL,BEVERLY,MA,USA,NNNYNNNNYNYNNN,NNNYY,NNYY,Y,Y,N,Y,A,Y,+5:00=UTC,K6,Y,NAW,19044,20133
KBWC,BWC,4100,N32593458,W115310215,E013.0,-0128,BRAWLEY MUN,BRAWLEY,CA,USA,NNNYNNNNNNYNNN,NNNNN,NNYY,N,N,N,Y,N,Y,+8:00=UTC,K2,Y,NAW,19062,20142
KBWD,BWD,5500,N31473700,W098572340,E004.0,1387,BROWNWOOD REGL,BROWNWOOD,TX,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,,N,N,Y,N,Y,+6:00=UTC,K4,Y,NAW,19065,20145
KBWG,BWG,6500,N36575230,W086251080,W004.0,547,BOWLING GREEN-WARREN CO REGL,BOWLING GREEN,KY,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,N,N,Y,Y,U,Y,+6:00=UTC,K5,Y,NAW,19070,20150
KBWI,BWI,10500,N39103262,W076400837,W011.0,143,BALTIMORE/WASHINGTON INTL,BALTIMORE,MD,USA,NNNYNNNNYNNNNN,NYYYY,NNYY,Y,Y,Y,Y,P,Y,+5:00=UTC,K6,Y,NAW,19076,20156
KBWP,WAH,5100,N46143946,W096362576,E005.0,968,STERN,WAHPETON,ND,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,N,Y,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,19122,20186
KBWW,,5700,N46095587,W103180267,E007.0,2965,BOWMAN REGL,BOWMAN,ND,USA,NNNYNNNNYNNNNN,NYYYY,NNYY,,N,N,Y,N,Y,+7:00=UTC,K3,Y,NAW,19125,20188
KBXA,BXA,5000,N30484927,W089515387,W000.0,119,CARR MEML,BOGALUSA,LA,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,,N,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,19128,20190
KBXG,,5000,N33022701,W082001535,W004.0,309,BURKE CO,WAYNESBORO,GA,USA,NNNYNNNNNNYNNN,NNNNN,NNNN,N,N,N,Y,N,Y,+5:00=UTC,K7,Y,NAW,19132,20193
KBXM,NHZ,8000,N43533248,W069561979,W018.0,75,BRUNSWICK EXECUTIVE,BRUNSWICK,ME,USA,NNNYNNNNNNYNNN,NNNYY,NNYY,,N,Y,Y,N,Y,+5:00=UTC,K6,Y,NAW,19135,20195
KBYG,BYG,6100,N44225190,W106431850,E012.0,4970,JOHNSON CO,BUFFALO,WY,USA,NNNYNNNNYNNNNN,NYNNN,NNYY,,N,N,Y,N,Y,+7:00=UTC,K1,Y,NAW,19139,20198
KBYH,BYH,11600,N35575160,W089563820,W001.0,254,ARKANSAS INTL,BLYTHEVILLE,AR,USA,NNNYNNNNYNNNNN,YNNNN,NNYN,,N,Y,Y,U,Y,+6:00=UTC,K4,Y,NAW,19142,20200
KBYI,BYI,4000,N42323340,W113461750,E015.0,4154,BURLEY MUN,BURLEY,ID,USA,NNNYNNNNYNNNNN,NNNNY,NNYY,,N,N,Y,N,Y,+7:00=UTC,K1,Y,NAW,19146,20203
KBYL,,5400,N36474200,W084115826,W005.0,1178,WILLIAMSBURG-WHITLEY CO,WILLIAMSBURG,KY,USA,NNNYNNNNNNYNNN,NNNNN,NNNN,N,N,N,Y,N,Y,+5:00=UTC,K5,Y,NAW,19149,20205
KBYY,BBC,5100,N28582369,W095514843,E003.0,45,BAY CITY REGL,BAY CITY,TX,USA,NNNYNNNNYNNNNN,NNNNN,NNNN,N,N,N,Y,N,Y,+6:00=UTC,K4,Y,NAW,19155,20208
KBZN,BZN,8900,N45463805,W111090094,E013.0,4473,BOZEMAN YELLOWSTONE INTL,BOZEMAN,MT,USA,NNNYYNNNYNNNNN,NYYYY,NNYY,Y,Y,Y,Y,R,Y,+7:00=UTC,K1,Y,NAW,19181,20223
KCAD,CAD,5000,N44163120,W085250810,W004.0,1307,WEXFORD CO,CADILLAC,MI,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,N,Y,Y,Y,U,Y,+5:00=UTC,K5,Y,NAW,19195,20235
KCAE,CAE,8600,N33561982,W081071033,W007.0,236,COLUMBIA METRO,COLUMBIA,SC,USA,NNNYNNNNYNNNNN,NYNYN,NNYY,N,Y,Y,Y,P,Y,+5:00=UTC,K7,Y,NAW,19199,20238
KCAG,CIG,5600,N40294280,W107311800,E009.0,6198,CRAIG-MOFFAT,CRAIG,CO,USA,NNNYNNNNYNNNNN,NNNNN,NNNN,,Y,N,Y,U,Y,+7:00=UTC,K2,Y,NAW,19211,20246
KCAK,CAK,8200,N40545420,W081263710,W007.0,1226,AKRON-CANTON REGL,AKRON,OH,USA,NNNYNNNNYNNNNN,NYYNN,NNYY,Y,Y,Y,Y,A,Y,+5:00=UTC,K5,Y,NAW,19216,20249
KCAO,CAO,6300,N36264660,W103085980,E009.0,4970,CLAYTON MUN,CLAYTON,NM,USA,NNNYNNNNYNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+7:00=UTC,K2,Y,NAW,19231,20262
KCAR,CAR,4000,N46521790,W068010550,W017.0,620,CARIBOU MUN,CARIBOU,ME,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,A,Y,+5:00=UTC,K6,Y,NAW,19234,20264
KCAV,,3400,N42442570,W093453260,E003.0,1157,CLARION MUN,CLARION,IA,USA,NNNYNNNNYNNNNN,NNNNN,NNNN,N,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,19237,20266
KCBE,CBE,5000,N39365510,W078454132,W010.0,775,GREATER CUMBERLAND REGL,CUMBERLAND,MD,USA,NNNYNNNNYNNNNN,NYYYY,NNYY,N,Y,N,Y,U,Y,+5:00=UTC,K6,Y,NAW,19240,20268
KCBF,CBF,5500,N41153640,W095453110,E005.0,1245,COUNCIL BLUFFS MUN,COUNCIL BLUFFS,IA,USA,NNNYNNNNYNNNNN,NNNNY,NNYY,,Y,Y,Y,U,Y,+6:00=UTC,K3,Y,NAW,19246,20271
KCBG,,4000,N45332698,W093155106,E001.0,945,CAMBRIDGE MUN,CAMBRIDGE,MN,USA,NNNYNNNNYNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,19253,20277
KCBK,CBK,5100,N39253885,W101024783,E008.0,3188,SHALZ,COLBY,KS,USA,NNNYNNNNNYNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,19256,20279
KCBM,CBM,12000,N33384263,W088264531,E000.0,218,COLUMBUS AFB,COLUMBUS,MS,USA,NNNNNNNYNNNNNN,NNYNY,NNYY,,Y,Y,Y,U,M,+6:00=UTC,K7,Y,WGE,19259,20281
KCCA,,4000,N35355190,W092270570,E000.0,514,CLINTON MUN,CLINTON,AR,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,,N,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,19278,20297
KCCB,CCB,3800,N34064179,W117411460,E014.0,1444,CABLE,UPLAND,CA,USA,NNNYNNNNYNNNNN,NYYYY,NNYY,,Y,N,Y,N,Y,+8:00=UTC,K2,Y,NAW,19281,20298
KCCO,,5500,N33184164,W084461112,W003.0,970,NEWNAN-COWETA CO,ATLANTA,GA,USA,NNNYNNNNNNYNNN,NNNNY,NNYY,N,Y,Y,Y,U,Y,+5:00=UTC,K7,Y,NAW,19285,20300
KCCR,CCR,5000,N37592276,W122032485,E013.0,26,BUCHANAN,CONCORD,CA,USA,NNNYYNNNNYNNNN,NYYNN,NNYY,Y,Y,N,Y,N,Y,+8:00=UTC,K2,Y,NAW,19292,20305
